fractal_left,reward_right,fractal_right,prob_left,trial,reward_left,prob_right,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,reward,response.rt,date,frameRate,expName,session,participant,
fig/6.jpg,1,fig/17.jpg,0.696,59,1,0.37,0,58,58,58,left,0,0.368860960007,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.659,60,1,0.376,0,59,59,59,left,0,0.236336946487,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.673,61,1,0.35,0,60,60,60,left,1,0.269546985626,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.637,62,1,0.357,0,61,61,61,left,1,0.319356918335,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.61,63,1,0.4,0,62,62,62,left,1,0.203246116638,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.618,64,1,0.414,0,63,63,63,left,1,0.233705043793,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.629,65,1,0.417,0,64,64,64,left,1,0.268861055374,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.672,66,1,0.424,0,65,65,65,left,0,0.301960945129,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.654,67,1,0.387,0,66,66,66,left,1,0.335936069489,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.663,68,1,0.379,0,67,67,67,left,1,0.284893035889,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.714,69,1,0.381,0,68,68,68,left,1,0.417811870575,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.679,70,1,0.387,0,69,69,69,left,0,0.41869020462,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.688,71,1,0.299,0,70,70,70,left,0,0.418977975845,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.662,72,1,0.327,0,71,71,71,left,1,0.303004980087,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.667,73,1,0.341,0,72,72,72,left,1,0.284153223038,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.689,74,1,0.345,0,73,73,73,left,1,0.669070005417,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.734,75,1,0.331,0,74,74,74,left,0,0.252309799194,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.728,76,1,0.34,0,75,75,75,left,1,0.234283924103,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.747,77,1,0.35,0,76,76,76,left,1,0.268072128296,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.741,78,1,0.333,0,77,77,77,left,1,0.335424900055,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
fig/6.jpg,1,fig/17.jpg,0.694,79,1,0.321,0,78,78,78,left,0,0.485200166702,2017_Jul_16_1609,59.9150336694,2_armed_bandit_experiment,01,g,
